Tweets,sentimentAnalysis
RT @scroll_in: Satire: This 'bhakt' is upset with people for turning their backs on PM Narendra Modi https://t.co/6CqscYj35M https://t.co/f…,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @drshamamohd: The #BJP govt has been masking fiscal deficits by deferring over Rs 1 lakh cr of subsidy payments.

No govt has fudged num…","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @moneycontrolcom: #QuotaBill | The passage of bill that provides 10% #quota for the general category poor in jobs and education is a ""st…","Sentiment(polarity=-0.175, subjectivity=0.55)"
RT @Sk_Shafiq_: @Ridzi_8136 ये भी एक #जुमला हैं रिध्दी 😜😛 Don't be serious but very good joke's from modi ji 😃😃😃,"Sentiment(polarity=0.28833333333333333, subjectivity=0.7233333333333334)"
RT @anjileeistwal: PM Modi has designed &amp; created a Brahmastra &amp; put it in BJP's Tarkash.....aur pehli chaal is Brahmastra ke saath unhone…,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @INCTharoorian: Modi tells us there's not enough money to treat our farmers with dignity, whilst waiving off loans for his rich cronies.…","Sentiment(polarity=0.1875, subjectivity=0.625)"
"RT @irfananjum_: ये मोदीजी का ट्वीटर अकाउंट कौन चलाता है भाई जब भी #Modi को टैग करता हूं, One saw &amp; one engagements  उसके बाद Profile Click…","Sentiment(polarity=0.0, subjectivity=0.0)"
RT @AjayPandey__: @ramashankarbk @satishchoubey7 @BJPAbhi1 @Indiaaakash @NyolOnline @meghwanshi_p @ppagarwal @thepradeep01 @TheAlpesh_AB @s…,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @vikrameffects: Modi has weakened India's defence with his denial of contracts to HAL and blindly favouring AA. #SaveHAL https://t.co/DD…,"Sentiment(polarity=-0.5, subjectivity=0.6666666666666666)"
"Pariksha Pe Charcha: PM Modi to interact with students, teachers on January 29
https://t.co/0tVb4rXfii via NaMo App https://t.co/9BKM9EBkAs","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @t_d_h_nair: Anchor: HAL doesn’t have cash in hand
BJP National spokesperson Shahnawaz Hussain: We are a cashless economy. Why should so…","Sentiment(polarity=0.0, subjectivity=0.0)"
RT @mkvenu1: Finance ministry did not pay &amp; carried over Rs1 lakh crore of food and fertilizer subsidy from  2016-17 to 2017-18. This conti…,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @abhijitmajumder: Modi govt dents Citizenship Bill furore by approving tribal status to 6 Assamese communities — @MyNation
#CitizenshipA…","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @mvmeet: I appreciate PM Modi's 10% reservation for economically backward upper caste

One criteria to avail it is, our annual income sh…","Sentiment(polarity=0.15, subjectivity=0.45)"
RT @JhaSanjay: This is another #Modi SCAM! https://t.co/ryAVe2A5MQ,"Sentiment(polarity=0.0, subjectivity=0.0)"
